"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"28","DAINIK BHANU PRABHAT","UPHIN/2022/87056","29-04-2024","Hindi","Daily","BHANU PRATAP","BHANU PRATAP","Uttar Pradesh","Chitrakoot","View        registration details for DAINIK BHANU PRABHAT (UPHIN/2022/87056)"
"29","DAINIK BHARAT SAMACHAR PATRA","UPBIL/2022/84261","12-05-2023","English, HINDI","Weekly","ROHIT KUMAR","ROHIT KUMAR","Uttar Pradesh","Meerut","View        registration details for DAINIK BHARAT SAMACHAR PATRA (UPBIL/2022/84261)"
"30","DAINIK BHARATI","17326","30-11-2012","HINDI","Daily","SANTOSH KUMAR AGRAWAL","SANTOSH KUMAR AGRAWAL","Madhya Pradesh","","View        registration details for DAINIK BHARATI (17326)"
"31","DAINIK BHARATI","38312","30-07-1996","Hindi","Daily","CHANDRA SHEKHAR AGRAWAL","SANTOSH KUMAR AGARWAL","Madhya Pradesh","Shahdol","View        registration details for DAINIK BHARATI (38312)"
"32","DAINIK BHASKAR","BIHHIN/2015/66667","07-04-2016","Hindi","Daily","KEDAR PRASAD SINGHAL","D.B. CORP.LTD","Bihar","Bhagalpur","View        registration details for DAINIK BHASKAR (BIHHIN/2015/66667)"
"33","DAINIK BHASKAR","66402","03-04-1997","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP. LTD","Rajasthan","Ajmer","View        registration details for DAINIK BHASKAR (66402)"
"34","DAINIK BHASKAR","PUNHIN/2006/20400","11-07-2007","Hindi","Daily","R.K. GUPTA","D.B. CORP.LTD","Punjab","Amritsar","View        registration details for DAINIK BHASKAR (PUNHIN/2006/20400)"
"35","DAINIK BHASKAR","RAJHIN/2011/36185","15-03-2011","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP.LTD","Rajasthan","Alwar","View        registration details for DAINIK BHASKAR (RAJHIN/2011/36185)"
"36","DAINIK BHASKAR","BIHHIN/2015/64874","19-11-2015","Hindi","Daily","KEDAR PRASAD SINGHAL","D.B. CORP.LTD","Bihar","Muzaffarpur","View        registration details for DAINIK BHASKAR (BIHHIN/2015/64874)"
"37","DAINIK BHASKAR","HARHIN/2000/03357","01-05-2000","Hindi","Daily","SANJAY GUPTA","D.B. CORP.LTD","Haryana","Panipat","View        registration details for DAINIK BHASKAR (HARHIN/2000/03357)"
"38","DAINIK BHASKAR","DELHIN/2007/22001","28-11-2007","Hindi","Daily","BHARAT BHUSHAN","D.B. CORP.LTD","Delhi","New Delhi","View        registration details for DAINIK BHASKAR (DELHIN/2007/22001)"
"39","DAINIK BHASKAR","RAJHIN/2011/36281","18-03-2011","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP.LTD","Rajasthan","Sikar","View        registration details for DAINIK BHASKAR (RAJHIN/2011/36281)"
"40","DAINIK BHASKAR","CHAHIN/2000/03359","01-05-2000","Hindi","Daily","SANJAY GUPTA","D.B. CORP.LTD","Chandigarh","Chandigarh","View        registration details for DAINIK BHASKAR (CHAHIN/2000/03359)"
"41","DAINIK BHASKAR","PUNHIN/2007/25863","14-10-2008","Hindi","Daily","DHARMENDRA ATRI","D.B. CORP.LTD","Punjab","Ludhiana","View        registration details for DAINIK BHASKAR (PUNHIN/2007/25863)"
"42","DAINIK BHASKAR","RAJHIN/2017/71976","24-05-2017","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP.LTD","Rajasthan","Banswara","View        registration details for DAINIK BHASKAR (RAJHIN/2017/71976)"
"43","DAINIK BHASKAR","4645","07-11-1958","Hindi","Daily","SIDDHESHWARI PRASAD GAUR","SANJAY AGGARWAL","Uttar Pradesh","Jhansi","View        registration details for DAINIK BHASKAR (4645)"
"44","DAINIK BHASKAR","R/RJ/2024/1010/7268/372","25-01-1998","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP.LTD","Rajasthan","Kota","View        registration details for DAINIK BHASKAR (R/RJ/2024/1010/7268/372)"
"45","DAINIK BHASKAR","MPHIN/2017/71767","08-05-2017","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B.CORP.LTD.","Madhya Pradesh","Hoshangabad","View        registration details for DAINIK BHASKAR (MPHIN/2017/71767)"
"46","DAINIK BHASKAR","CHHHIN/2017/72023","26-05-2017","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP.LTD","Chhattisgarh","Raigarh","View        registration details for DAINIK BHASKAR (CHHHIN/2017/72023)"
"47","DAINIK BHASKAR","45220","30-01-1987","Hindi","Daily","SHIRISH KUMAR JAIN","BHASKAR PRAKASHAN PVT. LTD.","Madhya Pradesh","Jabalpur","View        registration details for DAINIK BHASKAR (45220)"
"48","DAINIK BHASKAR","UPHIN/2010/33190","04-08-2010","Hindi","Daily","SANJAY KUMAR AGARWAL","SANJAY AGGARWAL","Uttar Pradesh","Gautam Buddha Nagar","View        registration details for DAINIK BHASKAR (UPHIN/2010/33190)"
"49","DAINIK BHASKAR","MPHIN/2017/71760","08-05-2017","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B.CORP.LTD.","Madhya Pradesh","Khandwa","View        registration details for DAINIK BHASKAR (MPHIN/2017/71760)"
"50","DAINIK BHASKAR","MAHHIN/2023/86261","29-01-2024","Hindi","Daily","Satish Ratanchand Ranka","BHASKAR PRAKASHAN PVT. LTD.","Maharashtra","Pune","View        registration details for DAINIK BHASKAR (MAHHIN/2023/86261)"
"51","DAINIK BHASKAR","MPHIN/2008/29703","20-11-2009","Hindi","Daily","MANMOHAN AGRAWAL","D.B.CORP.LTD.","Madhya Pradesh","Chhindwara","View        registration details for DAINIK BHASKAR (MPHIN/2008/29703)"
"52","DAINIK BHASKAR","RAJHIN/2017/72366","20-06-2017","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP.LTD","Rajasthan","Bharatpur","View        registration details for DAINIK BHASKAR (RAJHIN/2017/72366)"
"53","DAINIK BHASKAR","56460","28-09-1993","Hindi","Daily","SHIRISH KUMAR JAIN","BHASKAR PRAKASHAN PVT. LTD.","Madhya Pradesh","Satna","View        registration details for DAINIK BHASKAR (56460)"
"54","DAINIK BHASKAR","66403","25-10-1996","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP.LTD","Rajasthan","Jaipur","View        registration details for DAINIK BHASKAR (66403)"
"55","DAINIK BHASKAR","RAJHIN/2011/36180","15-03-2011","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP.LTD","Rajasthan","Ganganagar","View        registration details for DAINIK BHASKAR (RAJHIN/2011/36180)"
"56","DAINIK BHASKAR","56474","05-06-1993","Hindi","Daily","KEDAR PRASAD SINGHAL","D.B. CORP.LTD","Chhattisgarh","Bilaspur","View        registration details for DAINIK BHASKAR (56474)"
"57","DAINIK BHASKAR","RAJHIN/2008/28706","10-08-2009","Hindi","Daily","KAMAL KANT SHARMA","D.B. CORP.LTD","Rajasthan","Pali","View        registration details for DAINIK BHASKAR (RAJHIN/2008/28706)"
"58","DAINIK BHASKAR","PUNHIN/2006/20401","11-07-2007","Hindi","Daily","SANJAY GUPTA","D.B. CORP.LTD","Punjab","Jalandhar","View        registration details for DAINIK BHASKAR (PUNHIN/2006/20401)"
"59","DAINIK BHASKAR","RAJHIN/2017/71977","24-05-2017","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP.LTD","Rajasthan","Barmer","View        registration details for DAINIK BHASKAR (RAJHIN/2017/71977)"
"60","DAINIK BHASKAR","67150","09-05-1997","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP.LTD","Rajasthan","Bikaner","View        registration details for DAINIK BHASKAR (67150)"
"61","DAINIK BHASKAR","JHAHIN/2010/38685","25-08-2011","Hindi","Daily","KEDAR PRASAD SINGHAL","D.B. CORP.LTD","Jharkhand","Ranchi","View        registration details for DAINIK BHASKAR (JHAHIN/2010/38685)"
"62","DAINIK BHASKAR","BIHHIN/2013/52553","10-10-2013","Hindi","Daily","KEDAR PRASAD SINGHAL","D.B. CORP.LTD","Bihar","Patna","View        registration details for DAINIK BHASKAR (BIHHIN/2013/52553)"
"63","DAINIK BHASKAR","1946","01-01-1959","Hindi","Daily","KEDAR PRASAD SINGHAL","D B CORPORATION LTD","Madhya Pradesh","Indore","View        registration details for DAINIK BHASKAR (1946)"
"64","DAINIK BHASKAR","HARHIN/2017/72024","26-05-2017","Hindi","Daily","SANJAY GUPTA","D.B. CORP.LTD","Haryana","Rewari","View        registration details for DAINIK BHASKAR (HARHIN/2017/72024)"
"65","DAINIK BHASKAR","HPHIN/2008/25611","11-09-2008","Hindi","Daily","SANJAY GUPTA","D.B. CORP.LTD","Himachal Pradesh","Shimla","View        registration details for DAINIK BHASKAR (HPHIN/2008/25611)"
"66","DAINIK BHASKAR","MAHHIN/2002/09133","02-12-2002","Hindi","Daily","Satish Ratanchand Ranka","BHASKAR PRAKASHAN PVT. LTD.","Maharashtra","Nagpur","View        registration details for DAINIK BHASKAR (MAHHIN/2002/09133)"
"67","DAINIK BHASKAR","HARHIN/2001/04384","30-05-2001","Hindi","Daily","SANJAY GUPTA","M/S. D.B. CORP.LTD","Haryana","Faridabad","View        registration details for DAINIK BHASKAR (HARHIN/2001/04384)"
"68","DAINIK BHASKAR","47566","29-08-1988","Hindi","Daily","KEDAR PRASAD SINGHAL","D.B. CORP.LTD","Chhattisgarh","Raipur","View        registration details for DAINIK BHASKAR (47566)"
"69","DAINIK BHASKAR","RAJHIN/2008/28685","07-08-2009","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP.LTD","Rajasthan","Nagaur","View        registration details for DAINIK BHASKAR (RAJHIN/2008/28685)"
"70","DAINIK BHASKAR","UPHIN/2016/71007","24-03-2017","Hindi","Daily","MANISH KUMAR AWASTHI","SANJAY KUMAR AGARWAL","Uttar Pradesh","Lucknow","View        registration details for DAINIK BHASKAR (UPHIN/2016/71007)"
"71","DAINIK BHASKAR","RAJHIN/2011/36181","15-03-2011","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP.LTD","Rajasthan","Bhilwara","View        registration details for DAINIK BHASKAR (RAJHIN/2011/36181)"
"72","DAINIK BHASKAR","MAHHIN/2011/42065","08-05-2012","Hindi","Daily","Satish Ratanchand Ranka","BHASKAR PRAKASHAN PVT. LTD.","Maharashtra","Chhatrapati Sambhaji Nagar","View        registration details for DAINIK BHASKAR (MAHHIN/2011/42065)"
"73","DAINIK BHASKAR","MPHIN/2006/16925","04-01-2006","Hindi","Daily","KEDAR PRASAD SINGHAL","D.B. CORP.LTD","Madhya Pradesh","Ujjain","View        registration details for DAINIK BHASKAR (MPHIN/2006/16925)"
"74","DAINIK BHASKAR","MPHIN/2008/28541","28-07-2009","Hindi","Daily","KEDAR PRASAD SINGHAL","D.B. CORP.LTD","Madhya Pradesh","Ratlam","View        registration details for DAINIK BHASKAR (MPHIN/2008/28541)"
"75","DAINIK BHASKAR","68960","24-07-1998","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","M/S  D.B. CORP. LIMITED","Rajasthan","Udaipur","View        registration details for DAINIK BHASKAR (68960)"
"76","DAINIK BHASKAR","1718","04-03-1957","Hindi","Daily","KEDAR PRASAD SINGHAL","D.B. CORPORATION LTD","Madhya Pradesh","Bhopal","View        registration details for DAINIK BHASKAR (1718)"
"77","DAINIK BHASKAR","MPHIN/2006/23339","17-03-2008","Hindi","Daily","KEDAR PRASAD SINGHAL","D.B. CORP.LTD","Madhya Pradesh","Sagar","View        registration details for DAINIK BHASKAR (MPHIN/2006/23339)"
"78","DAINIK BHASKAR","HARHIN/2000/03358","20-06-2000","Hindi","Daily","SANJAY GUPTA","D.B. CORP.LTD","Haryana","Hisar","View        registration details for DAINIK BHASKAR (HARHIN/2000/03358)"
"79","DAINIK BHASKAR","UTTHIN/2017/74028","01-12-2017","Hindi","Daily","SANJAY KUMAR AGARWAL","SANJAY KUMAR AGARWAL","Uttarakhand","Dehradun","View        registration details for DAINIK BHASKAR (UTTHIN/2017/74028)"
"80","DAINIK BHASKAR","RAJHIN/2017/74061","04-12-2017","Hindi","Daily","KAMAL KANT SHARMA","D.B. CORP. LTD.","Rajasthan","Jhunjhunu","View        registration details for DAINIK BHASKAR (RAJHIN/2017/74061)"
"81","DAINIK BHASKAR","RAJHIN/2017/74062","04-12-2017","Hindi","Daily","KAMAL KANT SHARMA","D.B. CORP. LTD.","Rajasthan","Sawai Madhopur","View        registration details for DAINIK BHASKAR (RAJHIN/2017/74062)"
"82","DAINIK BHASKAR","66413","24-03-2015","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","D.B. CORP.LTD","Rajasthan","Jodhpur","View        registration details for DAINIK BHASKAR (66413)"
"83","DAINIK BHASKAR","JHAHIN/2010/33083","28-07-2010","Hindi","Daily","KEDAR PRASAD SINGHAL","D.B. CORP.LTD","Jharkhand","Purbi Singhbhum","View        registration details for DAINIK BHASKAR (JHAHIN/2010/33083)"
"84","DAINIK BHASKAR","PUNHIN/2010/35202","05-01-2011","Hindi","Daily","DHARMENDRA ATRI","D.B. CORP.LTD","Punjab","Punjab","View        registration details for DAINIK BHASKAR (PUNHIN/2010/35202)"
"85","DAINIK BHASKAR","MPHIN/2018/75793","31-07-2018","Hindi","Daily","SHIRISH KUMAR JAIN","BHASKAR PRAKASHAN PVT. LTD.","Madhya Pradesh","Jabalpur","View        registration details for DAINIK BHASKAR (MPHIN/2018/75793)"
"86","DAINIK BHASKAR","BIHHIN/2012/41290","22-03-2012","Hindi","Daily","SANJAY PARASHAR","D.B. CORP.LTD","Bihar","Gaya","View        registration details for DAINIK BHASKAR (BIHHIN/2012/41290)"
"87","DAINIK BHASKAR","MPHIN/2013/59199","23-12-2014","Hindi","Daily","SHIRISH KUMAR JAIN","BHASKAR PRAKASHAN PVT. LTD.","Madhya Pradesh","Singrauli","View        registration details for DAINIK BHASKAR (MPHIN/2013/59199)"
"88","DAINIK BHASKAR","GUJHIN/2017/72432","29-06-2017","Hindi","Daily","SHARAD MATHUR","D B CORP LTD","Gujarat","Surat","View        registration details for DAINIK BHASKAR (GUJHIN/2017/72432)"
"89","DAINIK BHASKAR","MAHHIN/2023/85549","04-10-2023","Hindi","Daily","Satish Ratanchand Ranka","BHASKAR PRAKASHAN PVT. LTD.","Maharashtra","Mumbai Suburban","View        registration details for DAINIK BHASKAR (MAHHIN/2023/85549)"
"90","DAINIK BHASKAR","HARHIN/2017/71997","25-05-2017","Hindi","Daily","SANJAY GUPTA","D.B. CORP.LTD","Haryana","Rohtak","View        registration details for DAINIK BHASKAR (HARHIN/2017/71997)"
"91","DAINIK BHASKAR","17360","13-03-1969","Hindi","Daily","MUKESH GOPALKRISHAN MANGAL","BHASKAR PUBLICATIONS & ALLIED INDUSTRIES PVT. LTD.","Madhya Pradesh","Gwalior","View        registration details for DAINIK BHASKAR (17360)"
"92","DAINIK BHASKAR","MAHHIN/2010/40042","15-12-2011","Hindi","Daily","Satish Ratanchand Ranka","BHASKAR PRAKASHAN PVT. LTD.","Maharashtra","Akola","View        registration details for DAINIK BHASKAR (MAHHIN/2010/40042)"
"93","DAINIK BHASKAR","JHAHIN/2011/41038","06-03-2012","Hindi","Daily","KEDAR PRASAD SINGHAL","D.B. CORP.LTD","Jharkhand","Dhanbad","View        registration details for DAINIK BHASKAR (JHAHIN/2011/41038)"
"94","DAINIK BITOPAN ASOM","ASSASS/2023/89212","04-10-2024","ASSAMESE","Daily","MITU RANI DEKA","MRS. MITU RANI DEKA","Assam","","View        registration details for DAINIK BITOPAN ASOM (ASSASS/2023/89212)"
"95","DAINIK CAPTURE NEWS","MAHBIL/2021/80786","04-12-2021","Marathi, Hindi","Weekly","BHASKAR LINGAM","BHASKAR LINGAM","Maharashtra","Mumbai Suburban","View        registration details for DAINIK CAPTURE NEWS (MAHBIL/2021/80786)"
"96","Dainik chakravyooh","UPHIN/25/A3038","07-10-2025","Hindi","Monthly","Sonu Kumar verma","Sonu Kumar verma","Uttar Pradesh","Muzaffarnagar","View        registration details for Dainik chakravyooh  (UPHIN/25/A3038)"
"97","DAINIK CHAMBAL SURKHEE","MPHIN/2008/26325","21-11-2008","Hindi","Daily","RAMVILAS SHARMA","RAMVILAS SHARMA","Madhya Pradesh","Rewa","View        registration details for DAINIK CHAMBAL SURKHEE (MPHIN/2008/26325)"
"98","DAINIK CHAMBAL SURKHEE","47642","30-06-1988","Hindi","Daily","RAM VILAS SHARMA","RAM VILAS SHARMA","Madhya Pradesh","Morena","View        registration details for DAINIK CHAMBAL SURKHEE (47642)"
"99","DAINIK CHAMBAL SURKHEE","MPHIN/2008/23306","13-03-2008","Hindi","Daily","RAM VILAS SHARMA","RAM VILAS SHARMA","Madhya Pradesh","Bhopal","View        registration details for DAINIK CHAMBAL SURKHEE (MPHIN/2008/23306)"
"100","DAINIK CHAMBAL SURKHEE","RAJHIN/2013/49124","09-04-2013","Hindi","Daily","RAMVILAS SHARMA","RAMVILAS SHARMA","Rajasthan","Dhaulpur","View        registration details for DAINIK CHAMBAL SURKHEE (RAJHIN/2013/49124)"
"101","DAINIK CHAMBAL SURKHEE","MPHIN/2012/44208","19-07-2012","Hindi","Daily","RAMVILAS SHARMA","RAMVILAS SHARMA","Madhya Pradesh","Sheopur","View        registration details for DAINIK CHAMBAL SURKHEE (MPHIN/2012/44208)"
"102","DAINIK CHAMBAL SURKHEE","CHHHIN/2007/22450","01-01-2008","Hindi","Daily","RAM VILAS SHARMA","RAM VILAS SHARMA","Chhattisgarh","Raipur","View        registration details for DAINIK CHAMBAL SURKHEE (CHHHIN/2007/22450)"
"103","DAINIK CHAMBAL SURKHEE","MPHIN/2007/20705","01-08-2007","Hindi","Daily","RAM VILAS SHARMA","RAM VILAS SHARMA","Madhya Pradesh","Gwalior","View        registration details for DAINIK CHAMBAL SURKHEE (MPHIN/2007/20705)"
"104","DAINIK CHAMBAL SURKHEE","UPHIN/2008/25340","20-08-2008","Hindi","Daily","RAMVILAS SHARMA","RAMVILAS SHARMA","Uttar Pradesh","Agra","View        registration details for DAINIK CHAMBAL SURKHEE (UPHIN/2008/25340)"
"105","DAINIK CHETNA","38238","15-04-1982","Hindi","Daily","SHRI BHAGWAN VASHISTH","SHRI BHAGWAN VASHISTH","Haryana","Bhiwani","View        registration details for DAINIK CHETNA (38238)"
"106","DAINIK CHIRKAL SATYA","MAHMAR/2022/81578","13-06-2022","Marathi","Daily","SUBHASH RAUT","SUBHASH RAUT","Maharashtra","Nagpur","View        registration details for DAINIK CHIRKAL SATYA (MAHMAR/2022/81578)"
"107","Dainik Click Angle","CTHIN/25/A4729","04-12-2025","Hindi","Daily","Muhammad Riyaj Attari","Muhammad Riyaj Attari","Chhattisgarh","Kabeerdham","View        registration details for Dainik Click Angle (CTHIN/25/A4729)"
"108","DAINIK DALSAGAR","MPHIN/2000/09658","23-04-2003","HINDI","Daily","RAJANI PRAMOD SHARMA","RAJANI PRAMOD SHARMA","Madhya Pradesh","Seoni","View        registration details for DAINIK DALSAGAR (MPHIN/2000/09658)"
"109","Dainik Darpan Rajmaarg","UPHIN/26/A1584","17-03-2026","Hindi","Daily","AshuTosh Thakur","AshuTosh Thakur","Uttar Pradesh","Lucknow","View        registration details for Dainik Darpan Rajmaarg  (UPHIN/26/A1584)"
"110","DAINIK DARSHAN","UPHIN/2023/90423","06-01-2025","HINDI","Daily","HIMANSHU GUPTA","HIMANSHU GUPTA","Uttar Pradesh","Kanpur Nagar","View        registration details for DAINIK DARSHAN (UPHIN/2023/90423)"
"111","DAINIK DATA SANDESH","DELHIN/2008/28203","24-06-2009","Hindi","Daily","MADHURI KUMARI","SWAMI RAVINDRA BHARTI","Delhi","New Delhi","View        registration details for DAINIK DATA SANDESH (DELHIN/2008/28203)"
"112","DAINIK DINARAMBH","MHMAR/25/A5243","17-12-2025","Marathi","Daily","Naresh Ramesh Taywade","Naresh Ramesh Taywade","Maharashtra","Amravati","View        registration details for DAINIK DINARAMBH (MHMAR/25/A5243)"
"113","DAINIK EARTH","MAHMAR/2021/86456","16-02-2024","Marathi","Daily","SHITAL ANUP AGASHE","SHITAL ANUP AGASHE","Maharashtra","Nanded","View        registration details for DAINIK EARTH (MAHMAR/2021/86456)"
"114","DAINIK GAGAN","MPHIN/2010/33607","09-09-2010","Hindi","Weekly","SATYANARAYAN PRAJAPATI","SATYANARAYAN PRAJAPATI","Madhya Pradesh","Indore","View        registration details for DAINIK GAGAN (MPHIN/2010/33607)"
"115","DAINIK GAN UP","61661","16-01-1995","Hindi","Daily","RAJKUMAR SHUKLA","RAJKUMAR SHUKLA","Madhya Pradesh","Bhopal","View        registration details for DAINIK GAN UP (61661)"
"116","DAINIK GANADOOT","31203","22-12-1971","BENGALI","Daily","CHHABI PAL","CHHABI PAL","Tripura","West Tripura","View        registration details for DAINIK GANADOOT (31203)"
"117","DAINIK GANESH","21959","01-01-1971","Hindi","Daily","NA","NA","","","View        registration details for DAINIK GANESH (21959)"
"118","DAINIK GATHA","20225","16-03-1970","Hindi","Daily","KESHAV KUMAR PANDEY","KESHAV KUMAR PANDEY","Uttar Pradesh","Kanpur Nagar","View        registration details for DAINIK GATHA (20225)"
