"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"1","AGNI KIRAN DAINIK","72260","04-08-1999","Hindi","Daily","DILEEP NIGAM","DILEEP NIGAM","Madhya Pradesh","Indore","View        registration details for AGNI KIRAN DAINIK (72260)"
"2","AJIR DAINIK BATORI","ASSASS/2005/14968","","Assamese","Daily","DALIT KALITA","HKS PUBLICAIONS LTD.","Assam","Dibrugarh","View        registration details for AJIR DAINIK BATORI (ASSASS/2005/14968)"
"3","APRAHAN DAINIK KHOGI NAJAR","57723","02-08-1993","Hindi","Weekly","VIDHI CHAND SINGHAL","VIDHI CHAND SINGHAL","Uttarakhand","Nainital","View        registration details for APRAHAN DAINIK KHOGI NAJAR (57723)"
"4","BHARATIYA DAINIK PATRA","UPHIN/2008/23218","04-03-2008","Hindi","Daily","SANJAY SRIVASTAVA","SANJAY SRIVASTAVA","Uttar Pradesh","Lucknow","View        registration details for BHARATIYA DAINIK PATRA (UPHIN/2008/23218)"
"5","DAINIK AARYAMAN","MPHIN/25/A1594","03-07-2025","Hindi","Daily","POOJA BHUJADE","POOJA BHUJADE","Madhya Pradesh","Ujjain","View        registration details for DAINIK AARYAMAN (MPHIN/25/A1594)"
"6","DAINIK AAWAAZ","SIKNEP/2010/33699","20-09-2010","Nepali","Daily","PABITRA BHANDARI","PABITRA BHANDARI","Sikkim","Pakyong","View        registration details for DAINIK AAWAAZ (SIKNEP/2010/33699)"
"7","DAINIK ABICHAR","ASSBEN/2008/26381","28-11-2008","Bengali","Daily","MONOTOSH DHAR","MONOTOSH DHAR","Assam","Cachar","View        registration details for DAINIK ABICHAR (ASSBEN/2008/26381)"
"8","DAINIK AGNI UJALA","MPHIN/25/A3092","08-10-2025","Hindi","Daily","UDAY YADAV","UDAY YADAV","Madhya Pradesh","Ujjain","View        registration details for DAINIK AGNI UJALA (MPHIN/25/A3092)"
"9","DAINIK AGRADOOT","ASSASS/2004/13832","20-10-2004","Assamese","Daily","BHANUSREE SEN DEKA","AGRADOOT PUBLISHERS PVT.LTD","Assam","Jorhat","View        registration details for DAINIK AGRADOOT (ASSASS/2004/13832)"
"10","DAINIK AGRADOOT","ASSASS/2007/22844","04-02-2008","Assamese","Daily","BHANUSHREE SEN DEKA","AGRADOOT PUBLISHERS PVT.LTD.","Assam","Sonitpur","View        registration details for DAINIK AGRADOOT (ASSASS/2007/22844)"
"11","DAINIK AGRADOOT","62953","02-01-1996","Assamese","Daily","BHANUSREE SEN DEKA","AGRADOOT PUBLISHERS PVT. LTD.","Assam","Kamrup","View        registration details for DAINIK AGRADOOT (62953)"
"12","DAINIK AJAY UJALA","CHHHIN/2021/81016","13-01-2022","Hindi","Daily","AJAY KUMAR DEVANGAN","AJAY KUMAR DEVANGAN","Chhattisgarh","Dhamtari","View        registration details for DAINIK AJAY UJALA (CHHHIN/2021/81016)"
"13","DAINIK AKASH UJALA","MPHIN/25/A0937","03-06-2025","Hindi","Daily","AYAAN KHAN","AYAAN KHAN","Madhya Pradesh","Ujjain","View        registration details for DAINIK AKASH UJALA (MPHIN/25/A0937)"
"14","DAINIK ALOK","38043","03-04-1981","Hindi","Daily","MOHD HAMID KHAN","MOHD. HAMEED KHAN","Madhya Pradesh","Bhopal","View        registration details for DAINIK ALOK (38043)"
"15","DAINIK AMAN","67248","16-04-1997","Hindi","Daily","ARTI LAMBA","ARTI LAMBA","Delhi","New Delhi","View        registration details for DAINIK AMAN (67248)"
"16","DAINIK AMRAI SAMACHAR","MPHIN/2023/88140","29-07-2024","HINDI","Daily","MOHAMMAD KASIM KHAN","MOHAMMAD KASIM KHAN","Madhya Pradesh","Vidisha","View        registration details for DAINIK AMRAI SAMACHAR (MPHIN/2023/88140)"
"17","DAINIK ASAM","ASSASS/2010/37535","25-05-2011","Assamese","Daily","SHRI CHANDAN KUMAR CHOUHAN","DAINIK ASAM PVT.LTD","Assam","Dibrugarh","View        registration details for DAINIK ASAM (ASSASS/2010/37535)"
"18","DAINIK ASAM","11989","21-07-1965","Assamese","Daily","CHANDAN KUMAR CHOUHAN","DAINIK ASAM PVT.LTD","Assam","Kamrup","View        registration details for DAINIK ASAM (11989)"
"19","DAINIK ASHA","42004","06-02-1990","Oriya","Daily","PRAMOD KUMAR PANDA","DAINIK ASHA PUBLICATIONS PVT. LTD.","Odisha","Ganjam","View        registration details for DAINIK ASHA (42004)"
"20","DAINIK ATAL CHETNA","MPHIN/2015/60173","11-02-2015","Hindi","Daily","JITENDRA SINGH PARIHAR","JITENDRA SINGH PARIHAR","Madhya Pradesh","Damoh","View        registration details for DAINIK ATAL CHETNA (MPHIN/2015/60173)"
"21","DAINIK AVANTIKA","MPHIN/2006/17011","12-01-2006","Hindi","Daily","ANIL MEHTA","AVANTIKA PRAKASHAN","Madhya Pradesh","Bhopal","View        registration details for DAINIK AVANTIKA (MPHIN/2006/17011)"
"22","DAINIK AVANTIKA","13178","12-01-1968","Hindi","Daily","SURENDRA MEHTA","AVANTIKA PRAKASHAN","Madhya Pradesh","Ujjain","View        registration details for DAINIK AVANTIKA (13178)"
"23","DAINIK AWADH MILAP","UPHIN/2022/84000","27-04-2023","Hindi","Daily","DEEPAK SHUKLA","DEEPAK SHUKLA","Uttar Pradesh","Lucknow","View        registration details for DAINIK AWADH MILAP (UPHIN/2022/84000)"
"24","DAINIK AWADH MILAP","UPHIN/2023/89781","22-10-2024","HINDI","Monthly","DEEPAK SHUKLA","DEEPAK SHUKLA","Uttar Pradesh","Lucknow","View        registration details for DAINIK AWADH MILAP (UPHIN/2023/89781)"
"25","DAINIK BAATMI","MAHMAR/2021/81464","04-05-2022","Marathi","Weekly","SAMEER AHEMAD FAROOQUI IFTEKHAR FAROOQUI","SAMEER AHEMAD FAROOQUI IFTEKHAR FAROOQUI","Maharashtra","Beed","View        registration details for DAINIK BAATMI (MAHMAR/2021/81464)"
"26","DAINIK BANDUK","65349","23-05-1996","Hindi","Daily","PRASAM JAIN","PRASAM JAIN","Madhya Pradesh","Bhopal","View        registration details for DAINIK BANDUK (65349)"
"27","DAINIK BHAGYAANSH","MPHIN/2023/89006","25-09-2024","HINDI","Daily","Surendra Sharma","BHAGYANSH PUBLICATION PRIVET  LIMITED","Madhya Pradesh","Bhopal","View        registration details for DAINIK BHAGYAANSH (MPHIN/2023/89006)"
