"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"30","THE HINDU","PUNENG/2011/49954","26-10-2016","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Punjab","Sahibzada Ajit Singh Nagar","View        registration details for THE HINDU (PUNENG/2011/49954)"
"31","THE HINDU","BHENG/25/A3532","28-10-2025","English","Daily (Monday To Saturday)","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Bihar","Patna","View        registration details for THE HINDU (BHENG/25/A3532)"
"32","THE HINDU","TNENG/2004/49956","03-06-2013","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Tamil Nadu","Tiruchirappalli","View        registration details for THE HINDU (TNENG/2004/49956)"
"33","THE HINDU","TNENG/1969/49957","03-06-2013","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Tamil Nadu","Coimbatore","View        registration details for THE HINDU (TNENG/1969/49957)"
"34","THE HINDU","TNENG/1978/49958","03-06-2013","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Tamil Nadu","Madurai","View        registration details for THE HINDU (TNENG/1978/49958)"
"35","THE HINDU","KARENG/1970/49960","09-01-2017","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Karnataka","Bengaluru","View        registration details for THE HINDU (KARENG/1970/49960)"
"36","THE HINDU","APENG/2001/49961","27-05-2013","English","Weekly","N. RAVI","THG PUBLISHING PRIVATE LIMITED","Tamil Nadu","Chennai","View        registration details for THE HINDU (APENG/2001/49961)"
"37","THE HINDU","TNENG/1978/49962","27-05-2013","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Tamil Nadu","Madurai","View        registration details for THE HINDU (TNENG/1978/49962)"
"38","THE HINDU","UPENG/2013/49942","01-12-2017","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Uttar Pradesh","Lucknow","View        registration details for THE HINDU (UPENG/2013/49942)"
"39","THE HINDU","TNENG/2004/49966","03-06-2013","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Tamil Nadu","Tiruchirappalli","View        registration details for THE HINDU (TNENG/2004/49966)"
"40","THE HINDU","TNTAM/2013/55769","29-05-2014","Tamil","Daily","N. RAM","KASTURI & SONS LTD","Tamil Nadu","Chennai","View        registration details for THE HINDU (TNTAM/2013/55769)"
"41","THE HINDU","UPENG/2012/49940","10-01-2017","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Uttar Pradesh","Gautam Buddha Nagar","View        registration details for THE HINDU (UPENG/2012/49940)"
"42","THE HINDU","UPENG/1986/49939","10-01-2017","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Uttar Pradesh","Gautam Buddha Nagar","View        registration details for THE HINDU (UPENG/1986/49939)"
"43","THE HINDU","KERENG/2000/49938","27-05-2013","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Kerala","Ernakulam","View        registration details for THE HINDU (KERENG/2000/49938)"
"44","THE HINDU","1019","04-03-1957","ENGLISH","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Tamil Nadu","Chennai","View        registration details for THE HINDU  (1019)"
"45","THE HINDU BUSINESS LINE","UPENG/2022/86886","22-04-2024","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Uttar Pradesh","Gautam Buddha Nagar","View        registration details for THE HINDU BUSINESS LINE (UPENG/2022/86886)"
"46","THE HINDU BUSINESS LINE","KNENG/26/A1461","26-02-2026","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Karnataka","Dharwad","View        registration details for THE HINDU BUSINESS LINE (KNENG/26/A1461)"
"47","THE HINDU BUSINESS LINE","KARENG/2023/85271","10-08-2023","ENGLISH","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Karnataka","Bengaluru","View        registration details for THE HINDU BUSINESS LINE (KARENG/2023/85271)"
"48","The Hindu Business Line","KLENG/26/A1272","19-02-2026","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Kerala","Kozhikode","View        registration details for The Hindu Business Line (KLENG/26/A1272)"
"49","THE HINDU BUSINESS LINE","TNENG/25/A2845","23-09-2025","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Tamil Nadu","Tiruchirappalli","View        registration details for THE HINDU BUSINESS LINE (TNENG/25/A2845)"
"50","THE HINDU BUSINESS LINE","WBENG/25/A3041","07-10-2025","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","West Bengal","Kolkata","View        registration details for THE HINDU BUSINESS LINE (WBENG/25/A3041)"
