"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"1","A S RAO NAGAR TIMES","TELBIL/2017/72628","14-07-2017","English, Telugu","Weekly","M. MEENALATHA SREENIVAS","M MEENALATHA SREENIVAS","Telangana","Hyderabad","View        registration details for A S RAO NAGAR TIMES (TELBIL/2017/72628)"
"2","A.P.CABLE TIMES","APTEL/2000/03094","30-11-2000","Telugu","Monthly","KASIBHATLA GIRIDHAR","KASIBHATLA GIRIDHAR","Telangana","Hyderabad","View        registration details for A.P.CABLE TIMES (APTEL/2000/03094)"
"3","AABKARI TIMES","UPHIN/2010/36360","22-03-2011","Hindi","Monthly","PREM SHANKAR MISHRA","PREM SHANKAR MISHRA","Uttar Pradesh","Prayagraj","View        registration details for AABKARI TIMES (UPHIN/2010/36360)"
"4","AADAMPUR TIMES","HARHIN/2008/29032","23-09-2009","Hindi","Weekly","VINOD KUMAR","VINOD KUMAR","Haryana","Hisar","View        registration details for AADAMPUR TIMES (HARHIN/2008/29032)"
"5","AADHARSHILA TIMES","UPHIN/2014/59379","01-01-2015","Hindi","Daily","JAIPRAKASH YADAV","JAIPRAKASH YADAV","Uttar Pradesh","Basti","View        registration details for AADHARSHILA TIMES (UPHIN/2014/59379)"
"6","AADITYA TIMES","UPHIN/2013/50077","30-05-2013","Hindi","Daily","ADITYA NARAYAN TRIPATHI","ADITYA NARAYAN TRIPATHI","Uttar Pradesh","Ambedkar Nagar","View        registration details for AADITYA TIMES (UPHIN/2013/50077)"
"7","AADITYA TIMES","UPHIN/2003/11475","19-05-2003","Hindi","Weekly","ADITYA NARAYAN TRIPATHI","ADITYA NARAYAN TRIPATHI","Uttar Pradesh","Uttar Pradesh","View        registration details for AADITYA TIMES (UPHIN/2003/11475)"
"8","AAGAAZ TIMES","UPHIN/2009/28569","30-07-2009","Hindi","Weekly","FALAK KHAN","FALAK KHAN","Uttar Pradesh","Lucknow","View        registration details for AAGAAZ TIMES (UPHIN/2009/28569)"
"9","AAGAZ TIMES","MAHMAR/2016/66838","03-05-2016","Marathi","Weekly","AASHA SUNIL PATIL","AASHA SUNIL PATIL","Maharashtra","Jalgaon","View        registration details for AAGAZ TIMES (MAHMAR/2016/66838)"
"10","AAJAD HIND TIMES","UTTHIN/2014/57581","01-10-2014","Hindi","Weekly","RAJESHWARI","RAJESHWARI","Uttarakhand","Uttarakhand","View        registration details for AAJAD HIND TIMES (UTTHIN/2014/57581)"
"11","AAJKER DUM DUM TIMES","WBBEN/2015/64800","17-11-2015","Bengali","Monthly","BISWANATH BANIK","BISWANATH BANIK","West Bengal","West Bengal","View        registration details for AAJKER DUM DUM TIMES (WBBEN/2015/64800)"
"12","AAKANKSHA TIMES","UPHIN/2008/24045","16-05-2008","Hindi","Weekly","RAMAKANT TRIPATHI","RAMAKANT TRIPATHI","Uttar Pradesh","Prayagraj","View        registration details for AAKANKSHA TIMES (UPHIN/2008/24045)"
"13","AAM AWAZ TIMES","DELHIN/2016/66952","12-05-2016","Hindi","Daily","ASIF KHAN","ASIF KHAN","Delhi","New Delhi","View        registration details for AAM AWAZ TIMES (DELHIN/2016/66952)"
"14","AAM SANGHARSH TIMES","67575","08-11-1997","Marathi","Daily","SAHURAJ AMBAJI SALUNKE","SALUNKE SHAHURAJ AMBAJI","Maharashtra","Dharashiv","View        registration details for AAM SANGHARSH TIMES (67575)"
"15","AAM SANGHARSHSA TIMES","66356","06-02-1994","Marathi","Weekly","SALUNKE SHAHURAJ AMBAJIROA","SALUNKE SHAHURAJ AMBAJIROA","Maharashtra","Dharashiv","View        registration details for AAM SANGHARSHSA TIMES (66356)"
"16","AAMRAVAN TIMES","UPHIN/2002/06882","19-01-2002","Hindi","Weekly","ANITA SAINI","ANITA SAINI","Uttar Pradesh","Lucknow","View        registration details for AAMRAVAN TIMES (UPHIN/2002/06882)"
"17","AANKHEN TIMES","UPBIL/2014/61669","30-04-2015","English, HINDI","Weekly","HARI BAHADUR SRIVASTAVA","HARI BAHADUR SRIVASTAVA","Uttar Pradesh","Kanpur Nagar","View        registration details for AANKHEN TIMES (UPBIL/2014/61669)"
"18","AAPAL DHAIRYA TIMES","MAHMAR/2011/48646","15-03-2013","Marathi","Weekly","SACHIN SAMPAT MORE","SACHIN SAMPATRAO MORE","Maharashtra","Satara","View        registration details for AAPAL DHAIRYA TIMES (MAHMAR/2011/48646)"
"19","AAPKA ADHIKAR TIMES","DELBIL/2002/08802","07-10-2002","English, HINDI","Fortnightly","LAKHAN SINGH","LAKHAN SINGH","Delhi","New Delhi","View        registration details for AAPKA ADHIKAR TIMES (DELBIL/2002/08802)"
"20","AAPKA PRAHAR TIMES","MAHHIN/2015/60803","17-03-2015","Hindi","Weekly","MOHAMMED WASIM SYED","MOHAMMED WASIM SYED","Maharashtra","Thane","View        registration details for AAPKA PRAHAR TIMES (MAHHIN/2015/60803)"
"21","AAPLA SANJ SAHAYADRI TIMES","MAHMAR/2003/10715","24-02-2003","Marathi","Daily","S.B.KALE","S.B.KALE","Maharashtra","Aurangabad","View        registration details for AAPLA SANJ SAHAYADRI TIMES (MAHMAR/2003/10715)"
"22","AAPLA SANJ SAHAYADRI TIMES","MAHMAR/2007/20939","23-08-2007","Marathi","Daily","SANDEEP BHAGWANRAO KALE","S.B.KALE","Maharashtra","Mumbai","View        registration details for AAPLA SANJ SAHAYADRI TIMES (MAHMAR/2007/20939)"
"23","AARADHYA DARPAN TIMES","GUJGUJ/2022/83342","24-02-2023","Gujarati","Fortnightly","YADAV VINODKUMAR KAMLAPRASAD","YADAV VINODKUMAR KAMLAPRASAD","Gujarat","Surat","View        registration details for AARADHYA DARPAN TIMES (GUJGUJ/2022/83342)"
"24","AARADHYA DARPAN TIMES","GUJHIN/2023/85399","30-11-2023","Hindi","Weekly","YADAV VINODKUMAR KAMLAPRASAD","YADAV VINODKUMAR KAMLAPRASAD","Gujarat","Surat","View        registration details for AARADHYA DARPAN TIMES (GUJHIN/2023/85399)"
"25","AARNA TIMES","UTTHIN/2023/86846","09-04-2024","Hindi","Fortnightly","ASHA BHATT","ASHA BHATT","Uttarakhand","Dehradun","View        registration details for AARNA TIMES (UTTHIN/2023/86846)"
"26","AARVIKA TIMES","MPHIN/2023/88591","20-08-2024","HINDI","Weekly","SURAJ KAHAR","SURAJ KAHAR","Madhya Pradesh","Chhindwara","View        registration details for AARVIKA TIMES (MPHIN/2023/88591)"
"27","AASHI TIMES","MPHIN/2009/30663","27-01-2010","Hindi","Monthly","AASHI ANWAR","AASHI ANWAR","Madhya Pradesh","Bhopal","View        registration details for AASHI TIMES (MPHIN/2009/30663)"
"28","AASHNA TIMES","UTTHIN/2013/52300","26-09-2013","Hindi","Fortnightly","SHIV AVTAR SHARMA","SHIV AVTAR SHARMA","Uttarakhand","Udham Singh Nagar","View        registration details for AASHNA TIMES (UTTHIN/2013/52300)"
"29","AASIM TIMES","UTTHIN/2010/34615","03-12-2010","Hindi","Fortnightly","PARVEJ AASIM","PARVEJ AASIM","Uttarakhand","Udham Singh Nagar","View        registration details for AASIM TIMES (UTTHIN/2010/34615)"
"30","Aatreya Times","APTEL/25/A2416","04-09-2025","Telugu","Monthly","CHAITANYA ARAVAM","CHAITANYA ARAVAM","Andhra Pradesh","Guntur","View        registration details for Aatreya Times (APTEL/25/A2416)"
"31","AAZAD PRAHARI TIMES","MAHHIN/2007/21365","05-10-2007","Hindi","Weekly","MEHBOOB S. FAROOQUI","MEHBOOB S. FAROOQUI","Maharashtra","Mumbai","View        registration details for AAZAD PRAHARI TIMES (MAHHIN/2007/21365)"
"32","AB TAK TIMES","HARHIN/2014/65101","03-12-2015","Hindi","Weekly","VIKAS SUKHIJA","VIKAS SUKHIJA","Haryana","Karnal","View        registration details for AB TAK TIMES (HARHIN/2014/65101)"
"33","ABCAHALNAGAR TIMES","MAHHIN/2017/74325","29-12-2017","Hindi","Weekly","PARAMJOT SINGH GURDEEP SINGH FAUJI","PARAMJOT SINGH GURDEEP SINGH FAUJI","Maharashtra","Nanded","View        registration details for ABCAHALNAGAR TIMES (MAHHIN/2017/74325)"
"34","ABHAYDATA TIMES","UPHIN/2014/56440","06-08-2014","Hindi","Weekly","RAM KRISHNA SHARMA","RAM KRISHNA SHARMA","Uttar Pradesh","Uttar Pradesh","View        registration details for ABHAYDATA TIMES (UPHIN/2014/56440)"
"35","ABHI TAK CRIME TIMES","DELHIN/2007/19981","31-05-2007","Hindi","Weekly","RAJENDER GUPTA","RAJENDER GUPTA","Delhi","New Delhi","View        registration details for ABHI TAK CRIME TIMES (DELHIN/2007/19981)"
"36","ABHIJEET TIMES","UPHIN/2009/32653","14-06-2010","Hindi","Daily","JAGBEER SRIVASTAVA","JAGBEER SRIVASTAVA","Uttar Pradesh","Sant Kabir Nagar","View        registration details for ABHIJEET TIMES (UPHIN/2009/32653)"
"37","ABHILASH TIMES","UPHIN/2011/43667","02-07-2012","Hindi","Weekly","ANITA MAURYA","ANITA MAURYA","Uttar Pradesh","Lucknow","View        registration details for ABHILASH TIMES (UPHIN/2011/43667)"
"38","ABHIMAN TIMES","MAHMAR/2023/89633","15-10-2024","MARATHI","Weekly","MADHAVI VISHWAS JOSHI","MADHAVI VISHWAS JOSHI","Maharashtra","Pune","View        registration details for ABHIMAN TIMES (MAHMAR/2023/89633)"
"39","ABHIMANYU TIMES","UTTHIN/2011/37250","12-05-2011","Hindi","Fortnightly","Saurabh Agarwal","Saurabh Agarwal","Uttarakhand","Udham Singh Nagar","View        registration details for ABHIMANYU TIMES (UTTHIN/2011/37250)"
"40","ABHISHEK TIMES","GUJGUJ/2017/74679","13-02-2018","Gujarati","Quarterly","RAKESH VIMALKANT TIWARI","RAKESH VIMALKANT TIWARI","Gujarat","Surat","View        registration details for ABHISHEK TIMES (GUJGUJ/2017/74679)"
"41","ABHISHEK TIMES","GUJHIN/2016/69243","10-11-2016","Hindi","Monthly","RAKESH VIMALKANT TIWARI","RAKESH VIMALKANT TIWARI","Gujarat","Surat","View        registration details for ABHISHEK TIMES (GUJHIN/2016/69243)"
"42","ABHIYAN TIMES","UTTHIN/2010/32820","30-06-2010","Hindi","Daily","RAJ KUMAR CHHABRA","RAJKUMAR CHHABRA","Uttarakhand","Dehradun","View        registration details for ABHIYAN TIMES (UTTHIN/2010/32820)"
"43","ABHIYAN TIMES","UTTHIN/2008/30477","15-01-2010","HINDI","Weekly","RAJ KUMAR CHHABRA","RAJKUMAR CHHABRA","Uttarakhand","Haridwar","View        registration details for ABHIYAN TIMES (UTTHIN/2008/30477)"
"44","ABHUSHAN TIMES","MAHHIN/2008/24974","29-07-2008","Hindi","Monthly","SIDHRAJ SOHANRAJJI LODHA","LODHA SIDHRAJ SOHANRAJJI","Maharashtra","Mumbai","View        registration details for ABHUSHAN TIMES (MAHHIN/2008/24974)"
"45","ABHUTPURV TIMES","MPHIN/2023/87196","08-05-2024","Hindi","Monthly","ABDUL TALIB","ABDUL TALIB","Madhya Pradesh","Bhopal","View        registration details for ABHUTPURV TIMES (MPHIN/2023/87196)"
"46","ABHYASH TIMES","MPHIN/2016/70422","07-02-2017","Hindi","Daily","AMIT PANJWANI","AMIT PANJWANI","Madhya Pradesh","Indore","View        registration details for ABHYASH TIMES (MPHIN/2016/70422)"
"47","ABRAR TIMES","MPHIN/2016/70288","30-01-2017","Hindi","Monthly","RAJDA KHAN","RAJDA KHAN","Madhya Pradesh","Bhopal","View        registration details for ABRAR TIMES (MPHIN/2016/70288)"
"48","ACCOMMODATION TIMES","20830","25-03-1971","English","Fortnightly","MURARI CHATURVEDI","ACCOMMODATION TIMES PVT.LTD","Maharashtra","Mumbai","View        registration details for ACCOMMODATION TIMES (20830)"
"49","ACHAR-VICHAR TIMES","56709","04-12-1992","Urdu","Weekly","TOUSHIF HUSSAIN","TOUSHIF HUSSAIN","Uttar Pradesh","Lucknow","View        registration details for ACHAR-VICHAR TIMES (56709)"
"50","ACROSS TIMES","UPHIN/2016/74651","12-02-2018","Hindi","Weekly","GYAN PRAKASH","GYAN PRAKASH","Uttar Pradesh","Shahjahanpur","View        registration details for ACROSS TIMES (UPHIN/2016/74651)"
"51","ACROSS TIMES","UPHIN/2019/90555","24-03-2025","Hindi","Daily Evening","GYAN PRAKASH","GYAN PRAKASH","Uttar Pradesh","Shahjahanpur","View        registration details for ACROSS TIMES	 (UPHIN/2019/90555)"
"52","ACTIVE TIMES","MAHENG/2015/63060","03-07-2015","English","Daily","VIJAY PANDURANG CHANDWADKAR","M.S. MEDIA & PUBLICATIONS PRIVATE LIMITED","Maharashtra","Mumbai Suburban","View        registration details for ACTIVE TIMES (MAHENG/2015/63060)"
"53","ADAA TIMES","MAHBIL/2010/34713","10-12-2010","URDU, Marathi","Daily","SABERA BEGUM MOHD. YOUSUF","SABERA BEGUM MOHD. YOUSUF","Maharashtra","Nanded","View        registration details for ADAA TIMES (MAHBIL/2010/34713)"
"54","ADAB TIMES","UPURD/2007/22962","13-02-2008","Urdu","Daily","T.R. RIJVI","SMT. T.R. RIJVI","Uttar Pradesh","Farrukhabad","View        registration details for ADAB TIMES (UPURD/2007/22962)"
"55","ADAB TIMES","UPURD/2008/23281","11-03-2008","Urdu","Daily","T.R. RIJVI","SMT. T.R. RIJVI","Uttar Pradesh","Lucknow","View        registration details for ADAB TIMES (UPURD/2008/23281)"
"56","ADAB TIMES","63495","27-02-1996","Urdu","Daily","TILAT RAZA RIZVI","TILAT RAZA RIZVI","Uttar Pradesh","Gonda","View        registration details for ADAB TIMES (63495)"
"57","ADALAT TIMES","MAHMAR/2017/75173","10-05-2018","Marathi","Weekly","PRAKASH RAMDAS LINGAYAT","PRAKASH RAMDAS LINGAYAT","Maharashtra","Jalgaon","View        registration details for ADALAT TIMES (MAHMAR/2017/75173)"
"58","ADAM TIMES","APURD/2012/48188","20-02-2013","Urdu","Daily","MOHD. AKBAR","MOHD. AKBAR","Andhra Pradesh","Hyderabad","View        registration details for ADAM TIMES (APURD/2012/48188)"
"59","ADAM TIMES","APURD/2007/23171","27-02-2008","Urdu","Weekly","MOHD. AKBAR","MOHD. AKBAR","Andhra Pradesh","Hyderabad","View        registration details for ADAM TIMES (APURD/2007/23171)"
"60","ADAMBAKKAM TIMES","TNENG/2018/75393","30-05-2018","English","Weekly","D. LOKESH","D.LOKESH","Tamil Nadu","Chennai","View        registration details for ADAMBAKKAM TIMES (TNENG/2018/75393)"
