"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"61","ADARSHDEEP TIMES","MPHIN/2017/76851","12-02-2019","Hindi","Monthly","ASHISH MALVIYA","ASHISH MALVIYA","Madhya Pradesh","Bhopal","View        registration details for ADARSHDEEP TIMES (MPHIN/2017/76851)"
"62","ADBHUT TIMES","UPHIN/2006/18173","28-12-2006","Hindi","Weekly","BHAGWAT SINGH BISHT","BHAGWAT SINGH BISHT","Uttar Pradesh","Lucknow","View        registration details for ADBHUT TIMES (UPHIN/2006/18173)"
"63","ADBHUT TIMES","UPHIN/2007/20990","27-08-2007","Hindi","Daily","BHAGWAT SINGH BISHT","BHAGWAT SINGH BISHT","Uttar Pradesh","Lucknow","View        registration details for ADBHUT TIMES (UPHIN/2007/20990)"
"64","ADEEB TIMES","TELENG/2014/56376","01-08-2014","English","Weekly","MOHAMMED ATHER","MOHAMMED ATHER","Telangana","Hyderabad","View        registration details for ADEEB TIMES (TELENG/2014/56376)"
"65","ADHINAYAK TIMES","MAHHIN/2017/75656","22-06-2018","Hindi","Weekly","JAY RAJENDRA SINGH","JAY RAJENDRA SINGH","Maharashtra","Mumbai","View        registration details for ADHINAYAK TIMES (MAHHIN/2017/75656)"
"66","ADHIPATHI NEWSTIMES","TGTEL/25/A1818","14-07-2025","Telugu","Daily","CHUNARKAR MAHESH","CHUNARKAR MAHESH","Telangana","Kumuram Bheem Asifabad","View        registration details for ADHIPATHI NEWSTIMES (TGTEL/25/A1818)"
"67","ADHUNIK TIMES","UPHIN/2007/19452","23-04-2007","Hindi","Monthly","GOVIND SINGH","M/S. ADHUNIK MEDIA PVT. LTD.","Uttar Pradesh","Gautam Buddha Nagar","View        registration details for ADHUNIK TIMES (UPHIN/2007/19452)"
"68","ADIBA TIMES","67991","04-08-1997","Hindi","Weekly","QAMAR MOHAMMED KHAN","QAMAR MOHAMMED KHAN","Madhya Pradesh","Bhopal","View        registration details for ADIBA TIMES (67991)"
"69","ADITHYA TIMES","KNKAN/25/A4066","19-11-2025","Kannada","Daily","NAGARATHNA V","NAGARATHNA V","Karnataka","Ramanagara","View        registration details for ADITHYA TIMES (KNKAN/25/A4066)"
"70","ADIVASI TIMES","30950","04-08-1976","Hindi","Weekly","WAHID RASUL ANSARI","WAHID RASUL ANSARI","Madhya Pradesh","Ratlam","View        registration details for ADIVASI TIMES (30950)"
"71","ADIVASI TIMES","GUJGUJ/2015/63373","22-07-2015","Gujarati","Weekly","HARESHBHAI KARSHANBHAI PARMAR","HARESHBHAI KARSHANBHAI PARMAR","Gujarat","Bhavnagar","View        registration details for ADIVASI TIMES (GUJGUJ/2015/63373)"
"72","ADVENTURE TIMES","GUJGUJ/2011/39892","07-12-2011","Gujarati","Weekly","RANJITSINH RAGHURAJSINH JHALA","RANJITSINH RAGHURAJSINH JHALA","Gujarat","Surendranagar","View        registration details for ADVENTURE TIMES (GUJGUJ/2011/39892)"
"73","ADVOCATE TIMES","PONMUL/2017/76165","04-10-2018","English, Tamil, Hindi","Daily","DEVAKRISHNAN K.","DEVAKRISHNAN K","Puducherry","Puducherry","View        registration details for ADVOCATE TIMES (PONMUL/2017/76165)"
"74","ADYAR TIMES","67948","07-06-2013","ENGLISH","Weekly","ARJUN MARK JANAKAN","ARJUN MARK JANAKAN","Tamil Nadu","Chennai","View        registration details for ADYAR TIMES (67948)"
"75","AFIARI TIMES","MPHIN/2016/69998","11-01-2017","Hindi","Monthly","ASHAFAK","ASHAFAK","Madhya Pradesh","Bhopal","View        registration details for AFIARI TIMES (MPHIN/2016/69998)"
"76","AFTAB TIMES","UPHIN/2010/34297","10-11-2010","Hindi","Fortnightly","MOHD. FAROOQ KHAN","MOHD. FAROOQ KHAN","Uttar Pradesh","Gonda","View        registration details for AFTAB TIMES (UPHIN/2010/34297)"
"77","AFTAB TIMES","UPHIN/2013/51399","13-08-2013","HINDI","Daily","MOHD FAROOQ KHAN","MOHD FAROOQ KHAN","Uttar Pradesh","","View        registration details for AFTAB TIMES (UPHIN/2013/51399)"
"78","AGAVANPUR TIMES","UPHIN/2020/79193","09-12-2020","Hindi","Weekly","MUZAHID HUSAIN","MUZAHID HUSAIN","Uttar Pradesh","Moradabad","View        registration details for AGAVANPUR TIMES (UPHIN/2020/79193)"
"79","AGENDA TIMES","MPHIN/2012/49053","05-04-2013","Hindi","Weekly","GAURAV SHRIVASTAVA","GAURAV SHRIVASTAVA","Madhya Pradesh","Gwalior","View        registration details for AGENDA TIMES (MPHIN/2012/49053)"
"80","AGNI PARVA TIMES","MAHBIL/2017/72600","10-07-2017","Marathi, Hindi","Weekly","KAMLESH S. DUBEY","KAMLESH S. DUBEY","Maharashtra","Thane","View        registration details for AGNI PARVA TIMES (MAHBIL/2017/72600)"
"81","AGNI TIMES","KARKAN/2012/46628","23-11-2012","Kannada","Monthly","K.VENKATESH","K.VENKATESH","Karnataka","Bengaluru","View        registration details for AGNI TIMES (KARKAN/2012/46628)"
"82","AGNICHARCHA TIMES","MPHIN/2016/70002","11-01-2017","Hindi","Quarterly","NEHA RATHORE","NEHA RATHORE","Madhya Pradesh","Bhopal","View        registration details for AGNICHARCHA TIMES (MPHIN/2016/70002)"
"83","AGNIYUG TIMES","MPHIN/2017/72297","15-06-2017","Hindi","Monthly","PAWAN SINGH","PAWAN SINGH","Madhya Pradesh","Bhopal","View        registration details for AGNIYUG TIMES (MPHIN/2017/72297)"
"84","AGRA TIMES","UPENG/2015/63397","22-07-2015","English","Daily","DHANUSH VIR SINGH","BENNETT, COLEMAN & CO.LTD","Uttar Pradesh","Lucknow","View        registration details for AGRA TIMES (UPENG/2015/63397)"
"85","AGRANI TIMES","MPHIN/2016/69939","09-01-2017","Hindi","Monthly","LALIT KUMAR CHOKIKAR","LALIT KUMAR CHOKIKAR","Madhya Pradesh","Bhopal","View        registration details for AGRANI TIMES (MPHIN/2016/69939)"
"86","AGRASEN TIMES","MAHMAR/2015/65768","22-01-2016","Marathi","Weekly","ARUN KUMAR SOMNATH MUNDADA","ARUN KUMAR SOMNATH MUNDADA","Maharashtra","Aurangabad","View        registration details for AGRASEN TIMES (MAHMAR/2015/65768)"
"87","AGRAWAL TIMES","DELHIN/2001/05448","01-10-2001","Hindi","Fortnightly","NANAKCHAND JAIN","NANAKCHAND JAIN","Delhi","New Delhi","View        registration details for AGRAWAL TIMES (DELHIN/2001/05448)"
"88","AGRI COMMODITY TIMES","HARBIL/2023/88292","31-07-2024","BILINGUAL","Quarterly","NAGENDER SINGH","NAGENDER SINGH","Haryana","Sonipat","View        registration details for AGRI COMMODITY TIMES (HARBIL/2023/88292)"
"89","AGRICULTURE TIMES","RAJHIN/2011/40401","16-01-2012","Hindi","Fortnightly","VIKAS SUBHASHCHANDRA VYAS","VIKAS SUBHASH CHANDRAVYAS","Rajasthan","Jaipur","View        registration details for AGRICULTURE TIMES (RAJHIN/2011/40401)"
"90","AGRIM TIMES","57481","21-08-1993","Hindi","Weekly","ROHTASH KUMAR","ROHTASH KUMAR","Uttar Pradesh","Meerut","View        registration details for AGRIM TIMES (57481)"
"91","AGRO TIMES","MAHMAR/2014/57811","17-10-2014","Marathi","Fortnightly","VIJAY MAHADEO WARFADE","VIJAY MAHADEO WARFADE","Maharashtra","Nagpur","View        registration details for AGRO TIMES (MAHMAR/2014/57811)"
"92","AGS TIMES","HARBIL/2016/66891","04-05-2016","English, HINDI","Daily","GAURAV SHARMA","GAURAV SHARMA","Haryana","Faridabad","View        registration details for AGS TIMES (HARBIL/2016/66891)"
"93","AHERIYA TIMES","UTTHIN/2002/06950","16-03-2002","Hindi","Fortnightly","JAYPAL SINGH AHERIYA","JAYPAL SINGH AHERIYA","Uttarakhand","Udham Singh Nagar","View        registration details for AHERIYA TIMES (UTTHIN/2002/06950)"
"94","AHILYA TIMES","MAHMAR/2015/61518","24-04-2015","Marathi","Weekly","SONVALKAR RAJENDRA MANOHAR","SONVALKAR RAJENDRA MANOHAR","Maharashtra","Pune","View        registration details for AHILYA TIMES (MAHMAR/2015/61518)"
"95","AHIR TIMES","GUJGUJ/2013/52649","17-10-2013","Gujarati","Weekly","Ahir Rahulkumar Harshadbhai","Ahir Rahulkumar Harshadbhai","Gujarat","Ahmedabad","View        registration details for AHIR TIMES (GUJGUJ/2013/52649)"
"96","AHIRWAL TIMES","51556","27-10-1993","Hindi","Daily","SAJAN SINGH","SAJAN SINGH","Haryana","Gurugram","View        registration details for AHIRWAL TIMES (51556)"
"97","AHIRWAL TIMES","HRHIN/26/A1500","16-03-2026","Hindi","Weekly","Sajan Singh","Sajan Singh","Haryana","Gurugram","View        registration details for AHIRWAL TIMES (HRHIN/26/A1500)"
"98","AHMADPUR TIMES","MPHIN/2023/88743","29-08-2024","HINDI","Daily","MOHD SALAR GORY","MOHD SALAR GORY","Madhya Pradesh","Sehore","View        registration details for AHMADPUR TIMES (MPHIN/2023/88743)"
"99","AHMED TIMES","70917","20-02-1999","English, Urdu","Monthly","ANWAR ALI KHAN","ANWAR ALI KHAN","Telangana","Hyderabad","View        registration details for AHMED TIMES (70917)"
"100","AHMEDABAD LAW TIMES","38406","03-09-1981","","Monthly","NA","NA","","","View        registration details for AHMEDABAD LAW TIMES (38406)"
"101","AHMEDABAD LAW TIMES","GUJBIL/2006/20713","01-08-2007","English, Gujarati","Monthly","SHITAL ARVINDBHAI SONI","SHITAL ARVINDBHAI SONI","Gujarat","Ahmedabad","View        registration details for AHMEDABAD LAW TIMES (GUJBIL/2006/20713)"
"102","AHMEDABAD TIMES","GUJENG/2002/05898","30-11-2001","English","Daily","RAMESH HUKMATRAI DHANANI","BENNETT, COLEMAN & CO.LTD","Gujarat","Ahmedabad","View        registration details for AHMEDABAD TIMES (GUJENG/2002/05898)"
"103","AHMEDABAD TIMES MASALA MIX","GUJGUJ/2014/55797","30-05-2014","Gujarati","Daily","HITESH BUDHBHATTI","BENNETT, COLEMAN & CO.LTD","Gujarat","Ahmedabad","View        registration details for AHMEDABAD TIMES MASALA MIX (GUJGUJ/2014/55797)"
"104","AHMEDABAD TIMES OF INDIA","GUJENG/2002/07254","16-12-2009","English","Daily","MONTOO JAIN","BENNETT, COLEMAN & CO.LTD","Gujarat","Ahmedabad","View        registration details for AHMEDABAD TIMES OF INDIA (GUJENG/2002/07254)"
"105","AIFTP TIMES","MAHENG/2010/32910","08-07-2010","English","Monthly","KOTECHA MITESH ASHWIN","ALL INDIA FEDERATION OF TAX PRACTITIONERS","Maharashtra","Mumbai","View        registration details for AIFTP TIMES (MAHENG/2010/32910)"
"106","AIRPORT TIMES","DELBIL/2014/56692","25-08-2014","English, HINDI","Monthly","MANPREET SINGH","MANPREET SINGH","Delhi","New Delhi","View        registration details for AIRPORT TIMES (DELBIL/2014/56692)"
"107","AJAMGARH TIMES","50950","24-01-1988","Hindi","Weekly","MIRA MISHRA","RAVIKANT MISHRA","Uttar Pradesh","Azamgarh","View        registration details for AJAMGARH TIMES (50950)"
"108","AJATASHATRU TIMES","UPHIN/2023/86744","28-03-2024","Hindi","Half Yearly","ARTI RAI","SURAJ PRASAD RAI","Uttar Pradesh","Sitapur","View        registration details for AJATASHATRU TIMES (UPHIN/2023/86744)"
"109","AJATASHATRU TIMES","UPHIN/2018/77308","03-05-2019","Hindi","Weekly","ARTI RAI","SURAJ PRASAD RAI","Uttar Pradesh","Sitapur","View        registration details for AJATASHATRU TIMES (UPHIN/2018/77308)"
"110","AJAYMERU TIMES","RAJHIN/2008/25702","22-09-2008","Hindi","Fortnightly","PANKAJ JAIN","PANKAJ JAIN","Rajasthan","Ajmer","View        registration details for AJAYMERU TIMES (RAJHIN/2008/25702)"
"111","AJJAKS TIMES","MPHIN/2009/30931","11-02-2010","Hindi","Weekly","DEVENDRA SURYAVANSHI","DEVENDRA SURYAVANSHI","Madhya Pradesh","Bhopal","View        registration details for AJJAKS TIMES (MPHIN/2009/30931)"
"112","AJMER RAJ NEWS TIMES","RAJHIN/2023/90972","19-06-2025","English, HINDI","Fortnightly","SYED MOHAMMAD SALIM","SYED MOHAMMAD SALIM","Rajasthan","Ajmer","View        registration details for AJMER RAJ NEWS TIMES (RAJHIN/2023/90972)"
"113","AJMERA TIMES","HARHIN/2017/75185","10-05-2018","Hindi","Weekly","PHOOL KUMAR","PHOOL KUMAR","Haryana","Hisar","View        registration details for AJMERA TIMES (HARHIN/2017/75185)"
"114","AJOOBA TIMES","DELHIN2001/04756","15-02-2001","Hindi","Fortnightly","AVINASH PURI","AVINASH PURI","Delhi","New Delhi","View        registration details for AJOOBA TIMES (DELHIN2001/04756)"
"115","Akas Times","MHHIN/25/A4593","02-12-2025","Hindi","Monthly","Ram Prakash Sharda Prasad Tiwari","Ram Prakash Sharda Prasad Tiwari","Maharashtra","Mumbai Suburban","View        registration details for Akas Times (MHHIN/25/A4593)"
"116","AKASH GANGA TIMES","HPHIN/2011/37699","03-06-2011","Hindi","Monthly","SUNIL KUMAR","SUNIL KUMAR","Himachal Pradesh","Himachal Pradesh","View        registration details for AKASH GANGA TIMES (HPHIN/2011/37699)"
"117","AKBAR TIMES","CHHHIN/2011/43859","06-07-2012","Hindi","Weekly","IRAM HASAN","SMTI. IRAM HASAN","Chhattisgarh","Raipur","View        registration details for AKBAR TIMES (CHHHIN/2011/43859)"
