"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"44","HELLO HINDUSTAN","MPHIN/26/A1101","16-02-2026","Hindi","Daily Evening","Pravin Sharma","Pravin Sharma","Madhya Pradesh","Ujjain","View        registration details for HELLO HINDUSTAN (MPHIN/26/A1101)"
"45","HELLO HINDUSTAN","MPHIN/2006/18133","21-12-2006","Hindi","Fortnightly","PRAVIN SHARMA","PRAVEEN SHARMA","Madhya Pradesh","Indore","View        registration details for HELLO HINDUSTAN (MPHIN/2006/18133)"
"46","HIMALAY AUR HINDUSTAN","68162","19-04-1996","Hindi","Fortnightly","RAVI RASTOGI","RAVI RASTOGI","Uttarakhand","Dehradun","View        registration details for HIMALAY AUR HINDUSTAN (68162)"
"47","HIND HINDUSTAN","MPHIN/2014/59297","29-12-2014","Hindi","Monthly","RAJESH YADAV","RAJESH YADAV","Madhya Pradesh","Indore","View        registration details for HIND HINDUSTAN (MPHIN/2014/59297)"
"48","HINDUSTAN","UPHIN/2014/58962","15-12-2014","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Uttar Pradesh","Gorakhpur","View        registration details for HINDUSTAN (UPHIN/2014/58962)"
"49","HINDUSTAN","UTTHIN/2011/37532","25-05-2011","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Uttarakhand","Nainital","View        registration details for HINDUSTAN (UTTHIN/2011/37532)"
"50","HINDUSTAN","UPHIN/2010/33857","30-09-2010","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Uttar Pradesh","Agra","View        registration details for HINDUSTAN (UPHIN/2010/33857)"
"51","HINDUSTAN","MAHURD/2018/76951","26-02-2019","Urdu","Daily","NAYAB HASAN ANSARI","SMT SABINA BEGUM","Maharashtra","Aurangabad","View        registration details for HINDUSTAN (MAHURD/2018/76951)"
"52","HINDUSTAN","1588","25-06-1957","Urdu","Daily","SARFARAZ ARZU","SMT SABINA BEGUM","Maharashtra","Mumbai","View        registration details for HINDUSTAN (1588)"
"53","HINDUSTAN","UPHIN/2010/33854","30-09-2010","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Uttar Pradesh","Meerut","View        registration details for HINDUSTAN (UPHIN/2010/33854)"
"54","HINDUSTAN","2240","01-11-1948","Hindi","Weekly","SHRI BALBIR SINGH CHOWDHRY","HINDUSTAN TIMES LTD.","Uttar Pradesh","Meerut","View        registration details for HINDUSTAN (2240)"
"55","HINDUSTAN","JHAHIN/2011/44804","23-08-2012","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Jharkhand","Purbi Singhbhum","View        registration details for HINDUSTAN (JHAHIN/2011/44804)"
"56","HINDUSTAN","BIHHIN/2016/68928","18-12-2024","Hindi","Daily","Rajeev Beotra","HINDUSTAN  MEDIA  VENTURES LIMITED","Bihar","Gaya","View        registration details for HINDUSTAN (BIHHIN/2016/68928)"
"57","HINDUSTAN","UPHIN/25/A0028","25-02-2025","Hindi","Daily","Rajeev Beotra","Hindustan Media Ventures Limited","Uttar Pradesh","Mathura","View        registration details for HINDUSTAN (UPHIN/25/A0028)"
"58","HINDUSTAN","UPHIN/2012/46845","06-12-2012","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Uttar Pradesh","Moradabad","View        registration details for HINDUSTAN (UPHIN/2012/46845)"
"59","HINDUSTAN","64319","07-10-1996","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Uttar Pradesh","Lucknow","View        registration details for HINDUSTAN (64319)"
"60","HINDUSTAN","BIHHIN/2016/68928","17-10-2016","HINDI","Daily","RAJEEV BEOTRA","HINDUSTAN  MEDIA  VENTURES LIMITED","Bihar","Gaya","View        registration details for HINDUSTAN (BIHHIN/2016/68928)"
"61","HINDUSTAN","44348","03-07-1986","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN  MEDIA  VENTURES LIMITED","Bihar","Patna","View        registration details for HINDUSTAN (44348)"
"62","HINDUSTAN","UPHIN/25/A0027","25-02-2025","Hindi","Daily","Samudra Bhattacharya","Hindustan Media Ventures Limited","Uttar Pradesh","Ayodhya","View        registration details for HINDUSTAN (UPHIN/25/A0027)"
"63","HINDUSTAN","509","16-08-1957","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Delhi","New Delhi","View        registration details for HINDUSTAN (509)"
"64","HINDUSTAN","BIHHIN/2011/47673","24-01-2013","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Bihar","Muzaffarpur","View        registration details for HINDUSTAN (BIHHIN/2011/47673)"
"65","HINDUSTAN","JHAHIN/2001/02948","05-02-2001","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Jharkhand","Ranchi","View        registration details for HINDUSTAN (JHAHIN/2001/02948)"
"66","HINDUSTAN","UTTHIN/2010/33776","24-09-2010","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Uttarakhand","Dehradun","View        registration details for HINDUSTAN (UTTHIN/2010/33776)"
"67","HINDUSTAN","UPHIN/2011/37533","25-05-2011","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Uttar Pradesh","Aligarh","View        registration details for HINDUSTAN (UPHIN/2011/37533)"
"68","HINDUSTAN","UPHIN/2010/33856","30-09-2010","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Uttar Pradesh","Kanpur Nagar","View        registration details for HINDUSTAN (UPHIN/2010/33856)"
"69","HINDUSTAN","UPHIN/2010/33855","30-09-2010","Hindi","Daily","Rajeev Beotra","HINDUSTAN MEDIA VENTURES LIMITED","Uttar Pradesh","Bareilly","View        registration details for HINDUSTAN (UPHIN/2010/33855)"
"70","HINDUSTAN","UPHIN/2010/33858","30-09-2010","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Uttar Pradesh","Varanasi","View        registration details for HINDUSTAN (UPHIN/2010/33858)"
"71","HINDUSTAN","BIHHIN/2011/41407","28-03-2012","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Bihar","Bhagalpur","View        registration details for HINDUSTAN (BIHHIN/2011/41407)"
"72","HINDUSTAN","JHAHIN/2011/44764","17-08-2012","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Jharkhand","Dhanbad","View        registration details for HINDUSTAN (JHAHIN/2011/44764)"
"73","HINDUSTAN","BIHHIN/2018/75822","09-08-2018","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN  MEDIA  VENTURES LIMITED","Bihar","Purnia","View        registration details for HINDUSTAN (BIHHIN/2018/75822)"
"74","HINDUSTAN","UPHIN/2010/33853","30-09-2010","Hindi","Daily","Samudra Bhattacharya","HINDUSTAN MEDIA VENTURES LIMITED","Uttar Pradesh","Prayagraj","View        registration details for HINDUSTAN (UPHIN/2010/33853)"
"75","HINDUSTAN","JHAHIN/2011/37379","19-05-2011","Hindi","Daily","AMIT  CHOPRA","HINDUSTAN MEDIA VENTURES LIMITED","Jharkhand","Deoghar","View        registration details for HINDUSTAN (JHAHIN/2011/37379)"
"76","HINDUSTAN","UPHIN/25/A0029","25-02-2025","Hindi","Daily","Samudra Bhattacharya","Hindustan Media Ventures Limited","Uttar Pradesh","Jhansi","View        registration details for HINDUSTAN (UPHIN/25/A0029)"
"77","HINDUSTAN BEST SAMACHAR","63005","09-05-1994","Marathi, Hindi","Weekly","CHANDWANI DEEPAK BHAGWANDAS","CHANDWANI DEEPAK BHAGWANDAS","Maharashtra","Jalgaon","View        registration details for HINDUSTAN BEST SAMACHAR (63005)"
"78","HINDUSTAN BHUMI","GUJGUJ/2015/65642","13-01-2016","Gujarati","Weekly","BURHAN M. PATHAN","BURHAN M. PATHAN","Gujarat","Anand","View        registration details for HINDUSTAN BHUMI (GUJGUJ/2015/65642)"
"79","HINDUSTAN BORDER","RAJHIN/2010/33204","05-08-2010","Hindi","Daily","MADAN LAL CHHAJER","MADAN LAL CHHAJER","Rajasthan","Barmer","View        registration details for HINDUSTAN BORDER (RAJHIN/2010/33204)"
"80","HINDUSTAN BRIGHT","UPURD/2013/50796","09-07-2013","Urdu","Daily","SHADAB AHMED","SHADAB AHMED","Uttar Pradesh","Lucknow","View        registration details for HINDUSTAN BRIGHT (UPURD/2013/50796)"
"81","HINDUSTAN BUREAU","UPHIN/2008/26009","24-10-2008","Hindi","Weekly","MOHAMMAD MOID KHAN","MOHD. MOID KHAN","Uttar Pradesh","Lucknow","View        registration details for HINDUSTAN BUREAU (UPHIN/2008/26009)"
"82","HINDUSTAN BUREAU","UPHIN/2008/23702","16-04-2008","Hindi","Monthly","MOHAMMAD MOID KHAN","MOHD. MOID KHAN","Uttar Pradesh","Lucknow","View        registration details for HINDUSTAN BUREAU (UPHIN/2008/23702)"
"83","HINDUSTAN BUREAU","UPURD/2009/29493","06-11-2009","Urdu","Daily","MOHAMMAD MOID KHAN","MOHD. MOID KHAN","Uttar Pradesh","Lucknow","View        registration details for HINDUSTAN BUREAU (UPURD/2009/29493)"
"84","HINDUSTAN CHAMBER REVIEW","11921","07-07-1967","English","Monthly","V.V. SAMPATHKUMAR","HINDUSTAN CHAMBER OF COMMERCE","Tamil Nadu","Chennai","View        registration details for HINDUSTAN CHAMBER REVIEW (11921)"
"85","HINDUSTAN CHITRA","GUJGUJ/2013/58634","28-11-2014","Gujarati","Daily","MANISH M. HARASIDHIYA","MANISH M. HARASIDHIYA","Gujarat","Gandhinagar","View        registration details for HINDUSTAN CHITRA (GUJGUJ/2013/58634)"
"86","HINDUSTAN COLOURS","TNBIL/2022/82414","12-10-2022","English, Tamil","Monthly","R.GOPI","R GOPI","Tamil Nadu","Chennai","View        registration details for HINDUSTAN COLOURS (TNBIL/2022/82414)"
"87","HINDUSTAN DARPAN","DELHIN/2009/29577","13-11-2009","Hindi","Daily","SAROJ DEVI","SAROJ DEVI","Delhi","North West Delhi","View        registration details for HINDUSTAN DARPAN (DELHIN/2009/29577)"
"88","HINDUSTAN EKTA","HRHIN/26/A1127","16-02-2026","Hindi","Weekly","Kalaso Devi","Kalaso Devi","Haryana","Kaithal","View        registration details for HINDUSTAN EKTA (HRHIN/26/A1127)"
"89","HINDUSTAN EKTA","HARHIN/2020/79082","05-11-2020","Hindi","Monthly","ajay kumar","Kalaso Devi","Haryana","Kaithal","View        registration details for HINDUSTAN EKTA (HARHIN/2020/79082)"
"90","HINDUSTAN EXPRESS","MPHIN/2007/18763","07-03-2007","Hindi","Daily","CHANDRA PRAKASH SHIVHARE","CHANDRA PRAKASH SHIVHARE","Madhya Pradesh","Gwalior","View        registration details for HINDUSTAN EXPRESS (MPHIN/2007/18763)"
"91","HINDUSTAN EXPRESS","UPENG/2014/55835","04-06-2014","English","Daily","RIYAZ RANA","RIYAZ RANA","Uttar Pradesh","Gautam Buddha Nagar","View        registration details for HINDUSTAN EXPRESS (UPENG/2014/55835)"
"92","HINDUSTAN EXPRESS","UPENG/2009/27901","01-06-2009","English","Weekly","RIYAZ RANA","RIYAZ RANA","Uttar Pradesh","Bijnor","View        registration details for HINDUSTAN EXPRESS (UPENG/2009/27901)"
"93","HINDUSTAN EXPRESS","RAJHIN/2009/27740","12-05-2009","Hindi","Daily","CHANDRA PRAKASH SHIVHARE","CHANDRA PRAKASH SHIVHARE","Rajasthan","Dhaulpur","View        registration details for HINDUSTAN EXPRESS (RAJHIN/2009/27740)"
"94","HINDUSTAN EXPRESS","38943","19-11-1981","Urdu","Weekly","NA","NA","","","View        registration details for HINDUSTAN EXPRESS (38943)"
"95","HINDUSTAN EXPRESS","CHHHIN/2011/40575","27-01-2012","Hindi","Daily","CHANDRA PRAKASH SHIVHARE","CHANDRA PRAKASH SHIVHARE","Chhattisgarh","Raipur","View        registration details for HINDUSTAN EXPRESS (CHHHIN/2011/40575)"
"96","HINDUSTAN EXPRESS","HARHIN/2009/27723","12-05-2009","Hindi","Daily","CHANDRA PRAKASH SHIVHARE","CHANDRA PRAKASH SHIVHARE","Haryana","Palwal","View        registration details for HINDUSTAN EXPRESS (HARHIN/2009/27723)"
"97","HINDUSTAN EXPRESS","UTTENG/2014/56182","10-07-2014","English","Daily","RIYAZ RANA","RIYAZ RANA","Uttarakhand","Dehradun","View        registration details for HINDUSTAN EXPRESS (UTTENG/2014/56182)"
"98","HINDUSTAN EXPRESS","MAHHIN/2011/39186","07-10-2011","Hindi","Daily","CHANDRA PRAKASH SHIVHARE","CHANDRA PRAKASH SHIVHARE","Maharashtra","Gondiya","View        registration details for HINDUSTAN EXPRESS (MAHHIN/2011/39186)"
"99","HINDUSTAN EXPRESS","MPHIN/2016/66827","02-05-2016","Hindi","Daily","CHANDRA PRAKASH SHIVHARE","CHANDRA PRAKASH SHIVHARE","Madhya Pradesh","Ujjain","View        registration details for HINDUSTAN EXPRESS (MPHIN/2016/66827)"
"100","HINDUSTAN EXPRESS","UPENG/2008/25697","22-09-2008","English","Daily","RIYAZ RANA","RIYAZ RANA","Uttar Pradesh","Saharanpur","View        registration details for HINDUSTAN EXPRESS (UPENG/2008/25697)"
"101","HINDUSTAN EXPRESS","MPHIN/2003/09780","26-04-2003","Hindi","Daily","CHANDRA PRAKASH SHIVHARE","CHANDRA PRAKASH SHIVHARE","Madhya Pradesh","Morena","View        registration details for HINDUSTAN EXPRESS (MPHIN/2003/09780)"
"102","HINDUSTAN EXPRESS","BIHURD/2013/50517","25-06-2013","Urdu","Daily","PARWAIZ SUHAIB AHMED","PARWAIZ SUHAIB AHMED","Bihar","Patna","View        registration details for HINDUSTAN EXPRESS (BIHURD/2013/50517)"
"103","HINDUSTAN EXPRESS","DELURD/2006/16679","06-02-2012","URDU","Daily","PARWAIZ SUHAIB AHMED","PARWAIZ SUHAIB AHMED","Delhi","New Delhi","View        registration details for HINDUSTAN EXPRESS (DELURD/2006/16679)"
"104","HINDUSTAN EXPRESS","MPHIN/2007/18768","07-03-2007","Hindi","Daily","CHANDRA PRAKASH SHIVHARE","CHANDRA PRAKASH SHIVHARE","Madhya Pradesh","Bhopal","View        registration details for HINDUSTAN EXPRESS (MPHIN/2007/18768)"
"105","HINDUSTAN EXPRESS","HARHIN/2009/28496","21-07-2009","Hindi","Daily","CHANDRA PRAKASH SHIVHARE","CHANDRA PRAKASH SHIVHARE","Haryana","Faridabad","View        registration details for HINDUSTAN EXPRESS (HARHIN/2009/28496)"
"106","HINDUSTAN EXPRESS","RAJHIN/2013/48948","02-04-2013","Hindi","Daily","CHANDRA PRAKASH SHIVHARE","CHANDRA PRAKASH SHIVHARE","Rajasthan","Jaipur","View        registration details for HINDUSTAN EXPRESS (RAJHIN/2013/48948)"
"107","HINDUSTAN EXPRESS","UTTENG/2010/31255","02-03-2010","English","Daily","RIYAZ RANA","RIYAZ RANA","Uttarakhand","Haridwar","View        registration details for HINDUSTAN EXPRESS (UTTENG/2010/31255)"
"108","HINDUSTAN GATHA","68167","17-11-1997","Hindi","Weekly","SANTOSH PRAJAPATI","SANTOSH PRAJAPATI","Uttar Pradesh","Uttar Pradesh","View        registration details for HINDUSTAN GATHA (68167)"
"109","HINDUSTAN HOTLINE NEWS","DELBIL/2015/63737","11-08-2015","English, HINDI","Weekly","BIPIN KUMAR","BIPIN KUMAR","Delhi","New Delhi","View        registration details for HINDUSTAN HOTLINE NEWS (DELBIL/2015/63737)"
"110","HINDUSTAN JANADHAR","UPHIN/2013/53350","02-12-2013","Hindi","Weekly","GARGI JOSHI","LORD BUDDHA WELFARE FOUNDATION","Uttar Pradesh","Balrampur","View        registration details for HINDUSTAN JANADHAR (UPHIN/2013/53350)"
"111","HINDUSTAN JANADHAR","UPHIN/2012/47970","11-02-2013","Hindi","Weekly","GARGI JOSHI","LORD BUDDHA WELFARE FOUNDATION","Uttar Pradesh","Lucknow","View        registration details for HINDUSTAN JANADHAR (UPHIN/2012/47970)"
"112","HINDUSTAN JANPRATIRODH","DELHIN/2023/88517","22-08-2024","HINDI","Fortnightly","NATASHA VIG","NATASHA VIG","Delhi","New Delhi","View        registration details for HINDUSTAN JANPRATIRODH (DELHIN/2023/88517)"
"113","HINDUSTAN JEEV SANDESH","DELHIN/2015/62822","22-06-2015","Hindi","Weekly","YOGI RAVINDRA SWAMI","YOGI RAVINDRA SWAMI","Delhi","New Delhi","View        registration details for HINDUSTAN JEEV SANDESH (DELHIN/2015/62822)"
"114","HINDUSTAN JOBS","UPHIN/2011/37638","31-05-2011","Hindi","Weekly","VIVEK KHANNA","HINDUSTAN MEDIA VENTURES LIMITED","Uttar Pradesh","Lucknow","View        registration details for HINDUSTAN JOBS (UPHIN/2011/37638)"
"115","HINDUSTAN JOBS","DELENG/2011/39092","03-10-2011","English","Weekly","AMIT CHOPRA","HINDUSTAN MEDIA VENTURES LIMITED","Delhi","New Delhi","View        registration details for HINDUSTAN JOBS (DELENG/2011/39092)"
