"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"1","AADAB HINDUSTANI","TELTEL/2015/62051","21-05-2015","Telugu","Daily","GADDI DEVRAJ","GADDI DEVRAJ","Telangana","Hyderabad","View        registration details for AADAB HINDUSTANI (TELTEL/2015/62051)"
"2","AAZAD HINDUSTAN","DELURD/2010/36210","15-03-2011","Urdu","Daily","MOHD. SAJID RASHIDI","MOHD. SAJID RASHIDI","Delhi","New Delhi","View        registration details for AAZAD HINDUSTAN (DELURD/2010/36210)"
"3","ADARSH HINDUSTAN","WBHIN/2012/41477","09-04-2012","Hindi","Daily","Md alamgir","MD ALAMGIR","West Bengal","Kolkata","View        registration details for ADARSH HINDUSTAN (WBHIN/2012/41477)"
"4","ADARSH HINDUSTAN","BIHHIN/2009/27704","08-05-2009","Hindi","Daily","MD. ALAMGIR","MD. ALAMGIR","Bihar","Patna","View        registration details for ADARSH HINDUSTAN (BIHHIN/2009/27704)"
"5","ADARSH HINDUSTAN","DELHIN/2015/61932","14-05-2015","Hindi","Monthly","MD. ALAMGIR","MD. ALAMGIR","Delhi","New Delhi","View        registration details for ADARSH HINDUSTAN (DELHIN/2015/61932)"
"6","ADARSH HINDUSTAN","DELHIN/2013/50473","25-06-2013","Hindi","Daily","MD. ALAMGIR","MD. ALAMGIR","Delhi","New Delhi","View        registration details for ADARSH HINDUSTAN (DELHIN/2013/50473)"
"7","ADARSH HINDUSTAN","UTTHIN/2022/85583","26-10-2023","Hindi","Daily","MD. ALAMGIR","MD. ALAMGIR","Uttarakhand","Dehradun","View        registration details for ADARSH HINDUSTAN (UTTHIN/2022/85583)"
"8","ADARSH HINDUSTAN","UPHIN/2023/88911","13-09-2024","HINDI","Daily","MD. ALAMGIR","MD. ALAMGIR","Uttar Pradesh","New Delhi","View        registration details for ADARSH HINDUSTAN (UPHIN/2023/88911)"
"9","ADVAIT HINDUSTAN","UTTHIN/2016/68542","02-09-2016","Hindi","Weekly","SANJAY SHARMA","SANJAY SHARMA","Uttarakhand","Udham Singh Nagar","View        registration details for ADVAIT HINDUSTAN (UTTHIN/2016/68542)"
"10","AMAR HINDUSTAN","UAHIN/25/A0098","08-04-2025","Hindi","Daily","Darwan Singh","Darwan Singh","Uttarakhand","Dehradun","View        registration details for AMAR HINDUSTAN (UAHIN/25/A0098)"
"11","AMAR HINDUSTAN","UTTHIN/2008/24505","20-06-2008","Hindi","Weekly","DARBAAN SINGH GADIYA","DARBAAN SINGH GADIYA","Uttarakhand","Dehradun","View        registration details for AMAR HINDUSTAN (UTTHIN/2008/24505)"
"12","APNA HINDUSTAN","58006","04-07-1994","Hindi","Fortnightly","RAMESH CHAND SHARMA","RAMESH CHAND SHARMA","Rajasthan","Ajmer","View        registration details for APNA HINDUSTAN (58006)"
"13","ASBABE HINDUSTAN","UPHIN/2013/49660","13-05-2013","Hindi","Daily","SHABINA KHATOON","SHABINA KHATOON","Uttar Pradesh","Prayagraj","View        registration details for ASBABE HINDUSTAN (UPHIN/2013/49660)"
"14","ASBABE HINDUSTAN","UPHIN/2009/27384","26-03-2009","Hindi","Weekly","SHABINA KHATOON","SHABINA KHATOON","Uttar Pradesh","Prayagraj","View        registration details for ASBABE HINDUSTAN (UPHIN/2009/27384)"
"15","ATULYA HINDUSTAN","BIHHIN/2016/66538","28-03-2016","Hindi","Daily","RAJNISH SAWAL LILHA","RAJNISH SAWAL LILHA","Bihar","Darbhanga","View        registration details for ATULYA HINDUSTAN (BIHHIN/2016/66538)"
"16","ATULYA HINDUSTAN","GUJHIN/2012/47584","21-01-2013","Hindi","Daily","RAJNISH SAWAL LILHA","RAJNISH SAWAL LILHA","Gujarat","Surat","View        registration details for ATULYA HINDUSTAN (GUJHIN/2012/47584)"
"17","ATULYA HINDUSTAN","GUJHIN/2012/44648","09-08-2012","Hindi","Monthly","RAJNISH SAWAL LILHA","RAJNISH SAWAL LILHA","Gujarat","Surat","View        registration details for ATULYA HINDUSTAN (GUJHIN/2012/44648)"
"18","ATULYA HINDUSTAN","GUJHIN/2013/55164","02-04-2014","Hindi","Daily","RAJNISH SAWAL LILHA","RAJNISH SAWAL LILHA","Gujarat","Navsari","View        registration details for ATULYA HINDUSTAN (GUJHIN/2013/55164)"
"19","ATULYA HINDUSTAN","GUJGUJ/2017/73504","09-10-2017","Gujarati","Daily","RAJNISH SAWAL LILHA","RAJNISH SAWAL LILHA","Gujarat","Bharuch","View        registration details for ATULYA HINDUSTAN (GUJGUJ/2017/73504)"
"20","ATULYA HINDUSTAN","GUJHIN/2017/73519","10-10-2017","Hindi","Daily","RAJNISH SAWAL LILHA","RAJNISH SAWAL LILHA","Gujarat","Bharuch","View        registration details for ATULYA HINDUSTAN (GUJHIN/2017/73519)"
"21","ATULYA HINDUSTAN","DELHIN/2014/60523","02-03-2015","Hindi","Daily","RAJNISH SAWAL LILHA","RAJNISH SAWAL LILHA","Delhi","New Delhi","View        registration details for ATULYA HINDUSTAN (DELHIN/2014/60523)"
"22","ATULYA HINDUSTAN","GUJGUJ/2013/49785","20-05-2013","Gujarati","Daily","RAJNISH SAWAL LILHA","RAJNISH SAWAL LILHA","Gujarat","Surat","View        registration details for ATULYA HINDUSTAN (GUJGUJ/2013/49785)"
"23","ATULYA HINDUSTAN","GUJGUJ/2013/55185","03-04-2014","Gujarati","Daily","RAJNISH SAWAL LILHA","RAJNISH SAWAL LILHA","Gujarat","Navsari","View        registration details for ATULYA HINDUSTAN (GUJGUJ/2013/55185)"
"24","AWAKENING HINDUSTAN","CHHBIL/2015/60521","02-03-2015","English, HINDI","Quarterly","NARENDRA SINGH NAYAK","NARENDRA SINGH NAYAK","Chhattisgarh","Raipur","View        registration details for AWAKENING HINDUSTAN (CHHBIL/2015/60521)"
"25","AZAD HINDUSTAN HEADLINES","UPHIN/2024/90916","17-06-2025","Hindi","Weekly","ANIL KUMAR PAL","ANIL KUMAR PAL","Uttar Pradesh","Lucknow","View        registration details for AZAD HINDUSTAN HEADLINES (UPHIN/2024/90916)"
"26","AZAD HINDUSTAN HEADLINES","UPHIN/2024/90638","15-04-2025","Hindi","Daily","ANIL KUMAR PAL","ANIL KUMAR PAL","Uttar Pradesh","Lucknow","View        registration details for AZAD HINDUSTAN HEADLINES (UPHIN/2024/90638)"
"27","AZAD HINDUSTAN HEADLINES","UPHIN/2016/66568","30-03-2016","Hindi","Weekly","ANIL KUMAR PAL","ANIL KUMAR PAL","Uttar Pradesh","Jaunpur","View        registration details for AZAD HINDUSTAN HEADLINES (UPHIN/2016/66568)"
"28","AZEEM HINDUSTAN","DELURD/2005/19969","31-05-2007","Urdu","Daily","FAZLUR RAHMAN","FAZLUR RAHMAN","Delhi","New Delhi","View        registration details for AZEEM HINDUSTAN (DELURD/2005/19969)"
"29","AZIZ E HINDUSTAN","UPURD/2013/54130","21-01-2014","Urdu","Daily","ANISA PARVEEN","ANISA PARVEEN","Uttar Pradesh","Jhansi","View        registration details for AZIZ E HINDUSTAN (UPURD/2013/54130)"
"30","BAAT HINDUSTAN KI","WBHIN/2021/84049","01-05-2023","Hindi","Fortnightly","SONI KUMARI JHA","SONI KUMARI JHA","West Bengal","Howrah","View        registration details for BAAT HINDUSTAN KI (WBHIN/2021/84049)"
"31","BASHEER E HINDUSTAN","JHURD/25/A3934","13-11-2025","Urdu","Daily","VISHAL KUMAR","VISHAL KUMAR","Jharkhand","Dhanbad","View        registration details for BASHEER E HINDUSTAN (JHURD/25/A3934)"
"32","BASHEER E HINDUSTAN","JHAURD/2014/60680","10-03-2015","Urdu","Daily","VISHAL KUMAR","VISHAL KUMAR","Jharkhand","Deoghar","View        registration details for BASHEER E HINDUSTAN (JHAURD/2014/60680)"
"33","BHAGWA HINDUSTAN","HRHIN/25/A0418","23-05-2025","Hindi","Weekly","baghel singh","baghel singh","Haryana","Sirsa","View        registration details for BHAGWA HINDUSTAN (HRHIN/25/A0418)"
"34","DAUR E HINDUSTAN","UPHIN/2015/64364","16-10-2015","Hindi","Monthly","SANJAY KUMAR PANDEY","SANJAY KUMAR PANDEY","Uttar Pradesh","Lucknow","View        registration details for DAUR E HINDUSTAN (UPHIN/2015/64364)"
"35","DEVOTE HINDUSTAN","RAJHIN/2011/44408","31-07-2012","Hindi","Fortnightly","DINESH SHARMA","DINESH SHARMA","Rajasthan","Jaipur","View        registration details for DEVOTE HINDUSTAN (RAJHIN/2011/44408)"
"36","DEVOTE HINDUSTAN","RAJHIN/2014/55595","13-05-2014","Hindi","Daily","DINESH SHARMA","DINESH SHARMA","Rajasthan","Jaipur","View        registration details for DEVOTE HINDUSTAN (RAJHIN/2014/55595)"
"37","ELAN-E-HINDUSTAN","UPHIN/2009/28628","05-08-2009","Hindi","Monthly","SANJAY KUMAR PANDEY","SANJAY KUMAR PANDEY","Uttar Pradesh","Lucknow","View        registration details for ELAN-E-HINDUSTAN (UPHIN/2009/28628)"
"38","ELAN-E-HINDUSTAN","UPHIN/2013/52582","11-10-2013","Hindi","Weekly","SANJAY KUMAR PANDEY","SANJAY KUMAR PANDEY","Uttar Pradesh","Lucknow","View        registration details for ELAN-E-HINDUSTAN (UPHIN/2013/52582)"
"39","GARJA HINDUSTAN","MAHMAR/2012/41636","17-04-2012","Marathi","Weekly","SUREKHA DAYANAND MOHITE","SUREKHA DAYANAND MOHITE","Maharashtra","Mumbai Suburban","View        registration details for GARJA HINDUSTAN (MAHMAR/2012/41636)"
"40","GARVIT HINDUSTAN","RAJHIN/2021/83334","21-02-2023","Hindi","Daily","SOMENDRA GOPALIYA","SOMENDRA GOPALIYA","Rajasthan","Bharatpur","View        registration details for GARVIT HINDUSTAN (RAJHIN/2021/83334)"
"41","GLOBAL HINDUSTAN NEWS","UTTHIN/2016/68959","17-10-2016","Hindi","Monthly","AMIT KUMAR SHARMA","AMIT KUMAR SHARMA","Uttarakhand","Dehradun","View        registration details for GLOBAL HINDUSTAN NEWS (UTTHIN/2016/68959)"
"42","GREAT HINDUSTAN","MAHHIN/2021/81738","15-07-2022","Hindi","Weekly","KHATIK ANIS AHMED ABDUL MAJID","KHATIK ANIS AHMED ABDUL MAJID","Maharashtra","Dhule","View        registration details for GREAT HINDUSTAN (MAHHIN/2021/81738)"
"43","HELLO HINDUSTAN","MPHIN/2010/42980","14-06-2012","Hindi","Daily","PRAVEEN SHARMA","PRAVEEN SHARMA","Madhya Pradesh","Indore","View        registration details for HELLO HINDUSTAN (MPHIN/2010/42980)"
